iter	Passed	Remaining
0	0	64
1	1	56
2	1	54
3	2	49
4	2	49
5	3	48
6	3	48
7	4	47
8	4	47
9	5	46
10	5	46
11	6	46
12	6	45
13	7	45
14	7	45
15	8	44
16	9	44
17	9	44
18	10	43
19	10	43
20	11	43
21	12	43
22	12	42
23	13	42
24	14	42
25	14	41
26	15	41
27	15	40
28	16	39
29	16	39
30	17	38
31	18	38
32	18	37
33	19	37
34	19	36
35	20	36
36	20	35
37	21	34
38	22	34
39	22	34
40	23	33
41	23	32
42	24	32
43	25	32
44	25	31
45	26	31
46	27	30
47	28	30
48	29	30
49	29	29
50	30	29
51	31	28
52	31	28
53	32	27
54	33	27
55	33	26
56	34	26
57	35	25
58	35	24
59	36	24
60	37	23
61	37	23
62	38	22
63	39	22
64	40	21
65	40	20
66	41	20
67	41	19
68	42	19
69	42	18
70	43	17
71	44	17
72	45	16
73	45	16
74	46	15
75	47	14
76	47	14
77	48	13
78	48	13
79	49	12
80	50	11
81	50	11
82	51	10
83	52	9
84	52	9
85	53	8
86	53	8
87	54	7
88	55	6
89	55	6
90	56	5
91	56	4
92	57	4
93	58	3
94	58	3
95	59	2
96	59	1
97	60	1
98	60	0
99	61	0
